날짜,리뷰,별점,month,리뷰1,리뷰2
2021년 2월 21일,잘쓰고 있었는데 위젯이 갑자기 짤려서 나오네요... +)디자인에 문제가 아니라 바코드가 3분에 1쯤이나 짤려서 바탕화면에 나옵니다 노트10이구요 아마 업그레이드 시 문제 같은데 수정해주셔야 할것 같습니다 저말고도 올려주시는 분들이 있는것 같은데 어떤 상황인지 잘 모르시는 것 같아 다시 올립니다 위젯을 눌러 앱을 켜면되긴 하지만 그러면 위젯을 쓰는 의미가 없어서.. ㅜ,2,2021년,잘쓰고 있었는데 위젯이 갑자기 짤려서 나오네요 디자인에 문제가 아니라 바코드가 분에 쯤이나 짤려서 바탕화면에 나옵니다 노트 이구요 아마 업그레이드 시 문제 같은데 수정해주셔야 할것 같습니다 저말고도 올려주시는 분들이 있는것 같은데 어떤 상황인지 잘 모르시는 것 같아 다시 올립니다 위젯을 눌러 앱을 켜면되긴 하지만 그러면 위젯을 쓰는 의미가 없어서,"['위젯', '짤려', '디자인', '문제', '바코드', '이나', '짤려', '바탕화면', '노트', '이구', '아마', '업그레이드', '문제', '수정', '고도', '상황', '인지', '위젯', '위젯', '의미']"
2021년 10월 30일,국내에서 사용 가능한 모든 금융 관련 어플중에서 비밀번호 등록이 가장 어려운 어플. 보통 사용자들은 자기가 쓰기 편하고 손에 익은 비번을 사용하려 하는데 얘네는 일단 무조건 사용 불가능한 비번이라고 못 박고 시작함. 사용자가 원하는 비번이 아닌 카카오 본인들이 원하는 비번을 요구하는 어플임. 그거 빼고는 사용이 편하긴함.,3,2021년,국내에서 사용 가능한 모든 금융 관련 어플중에서 비밀번호 등록이 가장 어려운 어플 보통 사용자들은 자기가 쓰기 편하고 손에 익은 비번을 사용하려 하는데 얘네는 일단 무조건 사용 불가능한 비번이라고 못 박고 시작함 사용자가 원하는 비번이 아닌 카카오 본인들이 원하는 비번을 요구하는 어플임 그거 빼고는 사용이 편하긴함,"['국내', '모든', '금융', '관련', '어플', '비밀번호', '등록', '가장', '어플', '보통', '사용자', '자기', '쓰기', '비번', '일단', '무조건', '불가능', '비번', '시작', '사용자', '비번', '본인', '비번', '요구', '어플', '그거']"
2021년 1월 26일,"솔직히 다른 리워드같은 경우는 굉장히 이벤트도 많이하고 편리해서 좋은 평을 주고 싶었습니다 하지만 혹시라도 미니금고라는 서비스를 이용하실거라면 비추입니다. 솔직히 이윤은 0.6%로 그냥 차라리 적금들거나 주식하는게 훨씬 이득이었으나 매주하는 주사위가 재밌어서 시작해봤습니다. 첫 주사위에 7이 나오길래 오 좀 괜찮은데?하면서 시작했는데 이후 3,1,1,1,1,1,1....진짜 사기도 적당히 쳐야지.... 그냥 이윤보다 소소한 재미로 시작했지만 진짜 쓸모없고 오히려 기분만 더 더러워짐.... 이번주로 다시 돈 빼고 예금하려고합니다. 쓸모없는 기능을 너무 정성껏 만들어내주셔서 감사합니다",1,2021년,솔직히 다른 리워드같은 경우는 굉장히 이벤트도 많이하고 편리해서 좋은 평을 주고 싶었습니다 하지만 혹시라도 미니금고라는 서비스를 이용하실거라면 비추입니다 솔직히 이윤은 로 그냥 차라리 적금들거나 주식하는게 훨씬 이득이었으나 매주하는 주사위가 재밌어서 시작해봤습니다 첫 주사위에 이 나오길래 오 좀 괜찮은데 하면서 시작했는데 이후 진짜 사기도 적당히 쳐야지 그냥 이윤보다 소소한 재미로 시작했지만 진짜 쓸모없고 오히려 기분만 더 더러워짐 이번주로 다시 돈 빼고 예금하려고합니다 쓸모없는 기능을 너무 정성껏 만들어내주셔서 감사합니다,"['솔직', '워드', '이벤트', '이하', '편리', '미니', '금고', '서비스', '솔직', '이윤', '차라리', '적금', '거나', '주식', '이득', '었으', '주하', '주사위', '시작', '주사위', '시작', '이후', '사기', '적당', '이윤', '소한', '재미', '시작', '쓸모', '오히려', '기분', '더러', '워짐', '이번', '주로', '예금', '고합', '쓸모', '정성껏', '내주', '감사']"
2021년 5월 18일,결제할 때 카드를 선택해놓고 시간이 지나서 폰 화면이 꺼졌을 때 다시 화면을 켜면 카드가 아니라 카카오페이머니로 바뀌어버리네요. 바뀐 줄 모르고 그대로 결제를 해버릴 경우엔 현금 충전까지 돼버리는데 너무 짜증납니다. 카드로 결제하려다가 괜히 쓸데없는 불편을 겪게 돼서 앞으로 이 앱에서 결제는 안 써야겠습니다.,2,2021년,결제할 때 카드를 선택해놓고 시간이 지나서 폰 화면이 꺼졌을 때 다시 화면을 켜면 카드가 아니라 카카오페이머니로 바뀌어버리네요 바뀐 줄 모르고 그대로 결제를 해버릴 경우엔 현금 충전까지 돼버리는데 너무 짜증납니다 카드로 결제하려다가 괜히 쓸데없는 불편을 겪게 돼서 앞으로 이 앱에서 결제는 안 써야겠습니다,"['결제', '카드', '선택', '시간', '지나', '화면', '화면', '카드', '그대로', '결제', '현금', '충전', '짜증', '카드', '결제', '불편', '결제']"
2021년 2월 9일,"신규로 깔아서 해보려하는데 계속 연결상태가 좋지 않다네요,,, 데이터도 쓰고 와이파이도 바꿔쓰고 데이터도 써봤는데 몇번을 시도해도 접속자체가 안됩니다. 지금 당장 사용해야하는데 말썽이니 어뜨케 해야할지,,,",1,2021년,신규로 깔아서 해보려하는데 계속 연결상태가 좋지 않다네요 데이터도 쓰고 와이파이도 바꿔쓰고 데이터도 써봤는데 몇번을 시도해도 접속자체가 안됩니다 지금 당장 사용해야하는데 말썽이니 어뜨케 해야할지,"['신규', '연결상태', '데이터', '와이파이', '데이터', '접속', '당장', '말썽', '어뜨케']"
2021년 2월 10일,위젯이 기존 모양이 아닌 갑자기 작아져서 나옵니다. 짤려서 나오구요. 여러가지 모양 있는거 알고있습니다. 그 것 때문이 아니라 바탕화면에 배치하는 순간 갑자기 작아집니다. 매크로 답변 노노입니다. 노트10사용자입니다.,1,2021년,위젯이 기존 모양이 아닌 갑자기 작아져서 나옵니다 짤려서 나오구요 여러가지 모양 있는거 알고있습니다 그 것 때문이 아니라 바탕화면에 배치하는 순간 갑자기 작아집니다 매크로 답변 노노입니다 노트 사용자입니다,"['위젯', '기존', '모양', '짤려', '오구', '여러가지', '모양', '바탕화면', '치하', '순간', '아집', '매크로', '답변', '노노', '노트', '사용자']"
2021년 3월 4일,유심칩에 있는 개안정보를 인증의 도구로 활용하기에 한기기에 페이앱과 유심이 동시에 탑재 설치되어야 인증이 되는 구조임. 카톡 기기와 통화가능 유심탑재기기가 불리된 경우엔 사용이 불가함을 확인(제가 더이상 특이한 경우가 아닌 상황이 곧 올거임) 멀티 디바이서 드림^^,2,2021년,유심칩에 있는 개안정보를 인증의 도구로 활용하기에 한기기에 페이앱과 유심이 동시에 탑재 설치되어야 인증이 되는 구조임 카톡 기기와 통화가능 유심탑재기기가 불리된 경우엔 사용이 불가함을 확인 제가 더이상 특이한 경우가 아닌 상황이 곧 올거임 멀티 디바이서 드림,"['유심', '정보', '인증', '도구로', '활용', '기기', '유심', '동시', '탑재', '설치', '인증', '구조', '기기', '통화', '유심', '탑재', '기기', '불리', '불가', '이상', '특이', '상황', '멀티', '디바이', '드림']"
2021년 9월 18일,"증권페이 출금 방법을 찾을 수가 없어서 상담원과 채팅, 페이 출금 방법을 알려줌... 화가난다! 아~니! 출금이 왜 이렇게 복잡하고 어려운 거야 입출금은 메인 화면 아닌가? 얍삽하게, 입금은 쉽고 출금은 어렵게 만든 건가? 출금은 어떻게 하는거야? 답변을 보니 더 어이가 없네.. 한쿡말 몰라요?? 어디서 왔어요?",1,2021년,증권페이 출금 방법을 찾을 수가 없어서 상담원과 채팅 페이 출금 방법을 알려줌 화가난다 아 니 출금이 왜 이렇게 복잡하고 어려운 거야 입출금은 메인 화면 아닌가 얍삽하게 입금은 쉽고 출금은 어렵게 만든 건가 출금은 어떻게 하는거야 답변을 보니 더 어이가 없네 한쿡말 몰라요 어디서 왔어요,"['증권', '출금', '방법', '수가', '상담', '채팅', '출금', '방법', '화가', '출금', '복잡', '입출금', '메인', '화면', '삽하', '입금', '출금', '출금', '답변', '어이', '쿡말']"
2021년 10월 14일,카카오페이 처음 킬때 나는 띠링 소리가 너무 커요! 설정에서 이 소리를 끄는 기능도 없고 이어폰을 끼고 있는데 이어폰하고 폰에서 둘다 소리가 나와서 이거 씨끄러워서 조용한 상황에서는 무서워서 키지도 못하겟네요 ㅡㅡ 진짜 왜이러는건지,1,2021년,카카오페이 처음 킬때 나는 띠링 소리가 너무 커요 설정에서 이 소리를 끄는 기능도 없고 이어폰을 끼고 있는데 이어폰하고 폰에서 둘다 소리가 나와서 이거 씨끄러워서 조용한 상황에서는 무서워서 키지도 못하겟네요 진짜 왜이러는건지,"['처음', '킬때', '띠링', '소리', '설정', '소리', '이어폰', '이어폰', '소리', '용한', '상황']"
2021년 4월 7일,"아니 무슨 연결성공 계좌,카드 이용내역을 볼 수 있습니다 라는 페이지까지 떴는데 잔액확인을 누르니까 무슨 다시 계좌 연결하라는 페이지로 이동합니까??? 네이버페이 처럼 계좌 다 연결해놓고 확인하려고 했더니 계좌연결도 안되고 잔액확인도 안되고 적금통장은 연결조차 안되네요",1,2021년,아니 무슨 연결성공 계좌 카드 이용내역을 볼 수 있습니다 라는 페이지까지 떴는데 잔액확인을 누르니까 무슨 다시 계좌 연결하라는 페이지로 이동합니까 네이버페이 처럼 계좌 다 연결해놓고 확인하려고 했더니 계좌연결도 안되고 잔액확인도 안되고 적금통장은 연결조차 안되네요,"['연결', '성공', '계좌', '카드', '페이지', '계좌', '연결', '페이지', '이동', '처럼', '계좌', '연결', '인하', '계좌연결', '적금', '통장', '연결', '조차']"
