날짜,리뷰,별점,month
2023년 10월 18일,업뎃이후 잘쓰던 위젯이 먹통이 됐다 지우고 위젯 등록을 다시해도 잠깐 되다 시간 지나서 눌러보면 위젯이 먹통이다 네이버 페이 위젯은 잘된다 각성해라 카카오 ▶▶ 추가 - 여전히 문제가 그대로다 다른 문제도 발견했다 다크모드 사용시 위젯의 바코드가 보이지를 않아 사용이 불가능하다 카카오 각성해라 사용자의 입장에서 앱을 만들어라 좀 그게 안되나?,1,2023년
2023년 10월 17일,송금하기 누르면 화면이 떨려서 숫자를 못 누르겠어요 지우고 다시 깔았는데도 똑 같은 현상이 있어요 일시적인 현상이 아니라면 삭제할 수 밖에,1,2023년
2023년 8월 9일,늘 잘사용하고있어요 z플립5 외부화면에서 사용시 네이버페이는 문제없이 편하게 결제동작을 수행할수있는데 카카오페이는 화면이 겹쳐서 바코드클릭이 안되어 사용이 어렵네요ㅜ 혹시 이부분은 어떻게 개선이 될수있을까요..,5,2023년
2023년 7월 3일,"렉,버퍼링 겁나 느리고 화면 안뜸현상 짜증나요ㅠㅠ 주식은 타이밍이 전부인데... 특히 미국주식창은...요번에 메뉴얼 화면보기 방식이 바뀌어서 더 그런건지 핸드폰 갤22플러스 . 집에 기가와이파이 소프트업그레이드 전부 완료되어있는데도... 화면 개 느려터져서 나오질않아요!!! 모바일네트워크도 마찬가지...저번에도 이런일이 좀 심각하게 터져서 공식사과하고 피해보상 접수받고 했던걸로 기억하는데... 이런 현상이 너무 빈번하니까...개인 네트워크 문제다~라고만 치부할수 없는거 아닌가 싶네요. 속터져서 다른쪽으로 옮겨야하나 싶고 진짜... 삭제후 새로 깔고 인증하고 다해도 똑같고 이럴때마다 왜 이걸 깔고 거래해서 스스로 스트레스 받고있나 싶을때가 많네요 접속자수 많이 몰리는 앱은 수시로 점검해야 하는게 마치않나요??",1,2023년
2023년 6월 9일,"자주 쓰는 서비스는 앞으로 꺼내고 --> 나에게 맞게 설정해 놓고 잘 쓰고 있는데, 불편한 홈 화면으로 바껴 버렸네! 설정해 놓은 카드로 결제 하기 힘들도록 결제 누르고 카드를 한번 더 찾아야 하네. 누가 계산할때 번거롭게 이것 저것 누르고 있겠니 그냥 사용하지 말라는거지. 위젯 사이즈도 1X1은 없고, 쓸데없이 커서 사용 안하는데",1,2023년
2023년 6월 6일,"페이증권 처음사용인데,보조지표 기능도 부족하고.다른 증권사들처럼 가격이동평균 숫자.색상변경이 가능했으면 좋겠어요. 보조지표에 William'R 기능없네요 도구사용이 없어서 직접 선긋기가 되지않구요.추세선.지지저항선을 직접긋고 싶어요. 그리고 영웅문,KB증권 처럼 챠트를 열었을때 가로.세로 모두 상단에 도구와 설정 기능이 되어있어서 편하거든요.카카오페이도 그런기능들이 잘 되어있으면 좋겠습니다.부탁드려요~^^",2,2023년
2023년 7월 21일,업데이트 되고나서 훨씬 사용하기 좋아졌어요 그전에는 다른서비스찾아서 가려면 단계가 많아서 불편했는데 개편 되고나서는 카톡보다는 앱으로 많이들어가게되네요 금융일정 알려주는 알림도 그렇고 유용하게 잘 보게되요~혜택도 예전에는 찾기가 어려웠는데 잘보여서 결제하기전에 꼭 한번씩 보게되네요,5,2023년
2023년 8월 12일,카카오페이 증권을 잘 사용하고 있습니다. 지난번에 주식매매시에 UX가 불편하다는 글을 올렸는데 개선되면서 너무 좋아졌네용!! ^^ 이제 해외주식 데이마켓 서비스만 시작하면 완벽할듯~~,4,2023년
2023년 8월 10일,만14세는 못 쓰게 하셨네요~ 그리고 카뱅 추가 하려고 했는데 카드 비번이 맞는데 아니라고 쳐 하시네요^^ 그래서 바꾸고 다시 했는데 방금 바꾼거를 쳤는데 아니라네요^^ 뭐 제가 이상하게 바꾼거일수도 잇지 하면서 다시 비번을 바꿔서 다시 입력 햤는데 또 아니라네요 이거 뭐하자는 거죠? 제가 치매가 아닌 이상 10초전에 했던 짓은 다 기억하는데 이건 그냥 앱이 장애네요 아니면 개발자가 그거든지 진짜 화가나네요 똑바로 일 합시다 제발 카카오페이 절대 안 씁니다,1,2023년
2023년 10월 13일,송금시 얼마를 보낼까요 에서 금액 등 숫자버튼이 떨리면서 화면 흔들림현상으로 보낼 수가 없어요. 조속히 개선 해주세요.,2,2023년
