날짜,리뷰,별점,month,리뷰1,리뷰2
2023년 10월 1일,업데이트 이후로 크기가 큰 4x1 위젯에서 페이 포인트/페이 머니의 금액이 표시가 안되네요. 타사 금융앱들과 비교해서 편이성 측면에서 참 좋은 점이라 생각했는데 업데이트 이후로 사라져서 매우 아쉽습니다. 금액 표시가 부활했으면 좋겠습니다. 금액 표시가 없으면 불편하기도 하고 금액 표시도 안되는데 굳이 4x1의 큰 위젯을 써야할 필요성을 느끼지 못하는것 같습니다.,1,2023년,업데이트 이후로 크기가 큰 X 위젯에서 페이 포인트 페이 머니의 금액이 표시가 안되네요 타사 금융앱들과 비교해서 편이성 측면에서 참 좋은 점이라 생각했는데 업데이트 이후로 사라져서 매우 아쉽습니다 금액 표시가 부활했으면 좋겠습니다 금액 표시가 없으면 불편하기도 하고 금액 표시도 안되는데 굳이 X 의 큰 위젯을 써야할 필요성을 느끼지 못하는것 같습니다,"['업데이트', '이후', '크기', '위젯', '포인트', '금액', '표시', '금융', '비교', '편이', '측면', '생각', '업데이트', '이후', '사라', '매우', '금액', '표시', '부활', '금액', '표시', '불편', '기도', '금액', '표시', '굳이', '위젯', '필요성']"
2023년 9월 26일,"특히 삼성페이 연결된 이후 편하게 잘쓰고 있습니다만, 네이버 하나통장 개설 후 주계좌로 쓰고싶은데 입금이나 출금 푸쉬알림같은게 안와서 좀 불편하네요..ㅎㅎ 또 네이버 인증서 열때마다 webex meeting앱을 삭제하라는 알림이 떠서 매우 불편합니다(그냥 원격수업앱임). 마지막으로 계좌 숨김처리할때 완전 사라지지말고 토스처럼 회색처린된다음에 자산 집계에서 제외되는 방식이면 좋을 것 같아요",5,2023년,특히 삼성페이 연결된 이후 편하게 잘쓰고 있습니다만 네이버 하나통장 개설 후 주계좌로 쓰고싶은데 입금이나 출금 푸쉬알림같은게 안와서 좀 불편하네요 또 네이버 인증서 열때마다 WEBEX MEETING앱을 삭제하라는 알림이 떠서 매우 불편합니다 그냥 원격수업앱임 마지막으로 계좌 숨김처리할때 완전 사라지지말고 토스처럼 회색처린된다음에 자산 집계에서 제외되는 방식이면 좋을 것 같아요,"['연결', '이후', '다만', '통장', '개설', '계좌', '입금', '이나', '출금', '알림', '불편', '인증서', '마다', '알림', '매우', '불편', '원격', '수업', '앱임', '마지막', '계좌', '처리', '완전', '사라', '지지', '처럼', '회색', '처린', '다음', '집계', '제외', '방식', '이면']"
2023년 8월 13일,"삼성페이 현장결제 이용 시 데이터, 와이파이 문제 없는데 자꾸 재등록버튼만 나옵니다. 한 번에 뜨는 경우가 별로 없습니다. 몇 번 새로고침(재등록버튼) 해줘도 결국에 안 돼서 기본 삼성페이로만 결제하게 됩니다. 위젯으로 들어가서 그런건지..",2,2023년,삼성페이 현장결제 이용 시 데이터 와이파이 문제 없는데 자꾸 재등록버튼만 나옵니다 한 번에 뜨는 경우가 별로 없습니다 몇 번 새로고침 재등록버튼 해줘도 결국에 안 돼서 기본 삼성페이로만 결제하게 됩니다 위젯으로 들어가서 그런건지,"['현장결제', '데이터', '와이파이', '문제', '등록', '버튼', '별로', '새로고침', '등록', '버튼', '기본', '로만', '제하', '위젯']"
2023년 9월 7일,언제나 편하게 잘 쓰고 있습니다. 다만 이번 업데이트 되면서 플립5 커버 화면 사용이 불편해 졌어요. 업데이트 전에는 커버화면에 QR코드가 보였는데 업데이트 후로는 핸드폰을 열어야지만 QR코드가 보입니다.,5,2023년,언제나 편하게 잘 쓰고 있습니다 다만 이번 업데이트 되면서 플립 커버 화면 사용이 불편해 졌어요 업데이트 전에는 커버화면에 QR코드가 보였는데 업데이트 후로는 핸드폰을 열어야지만 QR코드가 보입니다,"['언제', '다만', '이번', '업데이트', '플립', '커버', '화면', '불편', '업데이트', '커버', '화면', '코드', '업데이트', '핸드폰', '코드']"
2023년 10월 10일,"이번 업뎃 후에 문제 발생. 카드가 4개 등록돼 있어서 결제때마다 필요한 다른 카드로 선택해서 결제했는데, 업뎃 후에는 카드 선택이 불가. 결제화면에서 카드 터치하면 등록된 카드들이 펼쳐져서 보이고, 그 상태에서 결제할 카드를 선택하는데 그게 안됨. 다른 터치는 다 되는데 카드터치만 안됨. 무슨카드로 결제되는지 알 수가 없음-- 앞 내용은 어제 적은 후기인데 오늘 수정합니다!! 지금 다 잘 작동됩니다. 어플을 삭제하고 다시 설치한 것도 아니고, 어제 어플 그대로인데 지금은 카드 선택도 다 잘 됩니다~",5,2023년,이번 업뎃 후에 문제 발생 카드가 개 등록돼 있어서 결제때마다 필요한 다른 카드로 선택해서 결제했는데 업뎃 후에는 카드 선택이 불가 결제화면에서 카드 터치하면 등록된 카드들이 펼쳐져서 보이고 그 상태에서 결제할 카드를 선택하는데 그게 안됨 다른 터치는 다 되는데 카드터치만 안됨 무슨카드로 결제되는지 알 수가 없음 앞 내용은 어제 적은 후기인데 오늘 수정합니다 지금 다 잘 작동됩니다 어플을 삭제하고 다시 설치한 것도 아니고 어제 어플 그대로인데 지금은 카드 선택도 다 잘 됩니다,"['이번', '업뎃', '문제', '발생', '카드', '등록', '제때', '마다', '필요', '카드', '선택', '결제', '업뎃', '카드', '선택', '불가', '결제', '화면', '카드', '치하', '등록', '카드', '보이', '상태', '결제', '카드', '선택', '그게', '터치', '카드', '터치', '카드', '결제', '수가', '내용', '어제', '후기', '오늘', '정합', '작동', '어플', '설치', '어제', '어플', '그대로', '카드', '선택']"
2023년 8월 13일,이 앱 편의점이나 커피체인점에서 쓸때마다 화나는게 현장결제 때문에 클릭하면 맨날 본인인증 다시하라고 초기화면 떠있음. 몇원 더받으려고 쓰는건데 인증도 한두번이지 뒤에 다른손님 서있는데 몇분 본인인증하다 허비하고 쪽팔리는게 한두번이 아님. 장난치는것도 아니고 매번 본인인증하라고 인증 풀려져 있어서 성질나서 네이버페이앱 절대 안쓰고 네이버 앱만 쓰게됨.,1,2023년,이 앱 편의점이나 커피체인점에서 쓸때마다 화나는게 현장결제 때문에 클릭하면 맨날 본인인증 다시하라고 초기화면 떠있음 몇원 더받으려고 쓰는건데 인증도 한두번이지 뒤에 다른손님 서있는데 몇분 본인인증하다 허비하고 쪽팔리는게 한두번이 아님 장난치는것도 아니고 매번 본인인증하라고 인증 풀려져 있어서 성질나서 네이버페이앱 절대 안쓰고 네이버 앱만 쓰게됨,"['편의점', '이나', '커피', '체인점', '마다', '현장결제', '클릭', '본인인증', '초기', '화면', '인증', '이지', '손님', '본인인증', '허비', '난치', '매번', '본인인증', '인증', '성질', '절대']"
2023년 10월 2일,잘 사용하고 있었는데 삼성페이 화면에서 카드 선택이 안 떠요 원래 카드 목록이 보이고 눌러서 카드 선택 후 결제해서 그때그때 골라 결제했는데.. 위젯아이콘 누르면 자꾸 연결되지 않았다고 뜨고 접속돼도 카드가 안 뜨니 무슨 카드 인지도 모르고 결제가 잘못될까 봐 결제하기가 좀 그래요..,3,2023년,잘 사용하고 있었는데 삼성페이 화면에서 카드 선택이 안 떠요 원래 카드 목록이 보이고 눌러서 카드 선택 후 결제해서 그때그때 골라 결제했는데 위젯아이콘 누르면 자꾸 연결되지 않았다고 뜨고 접속돼도 카드가 안 뜨니 무슨 카드 인지도 모르고 결제가 잘못될까 봐 결제하기가 좀 그래요,"['화면', '카드', '선택', '원래', '카드', '목록', '보이', '카드', '선택', '결제', '그때', '그때', '결제', '위젯', '아이콘', '연결', '접속', '카드', '카드', '인지도', '결제', '잘못', '결제']"
2023년 9월 18일,이번 패치 이후에 플립5 플렉스윈도우 (커버화면) 호환이 안돼요 ㅠ Good luck 앱으로 네이버페에 QR코드 잘 사용해서 결제했는데. 이번 업데이트 이후로는 QR코드만 가려져서 삼성페이도 안돼고 ㅠ 폰를 열어야지 가능해졌습니다.. 원래 잘 사용되었다가 업데이트 이후로 안돼서 답답하네요 ㅠ,3,2023년,이번 패치 이후에 플립 플렉스윈도우 커버화면 호환이 안돼요 GOOD LUCK 앱으로 네이버페에 QR코드 잘 사용해서 결제했는데 이번 업데이트 이후로는 QR코드만 가려져서 삼성페이도 안돼고 폰를 열어야지 가능해졌습니다 원래 잘 사용되었다가 업데이트 이후로 안돼서 답답하네요,"['이번', '패치', '이후', '플립', '플렉스', '윈도우', '커버', '화면', '호환', '코드', '결제', '이번', '업데이트', '이후', '코드', '폰를', '원래', '업데이트', '이후']"
2023년 8월 23일,네이버페이 삼성페이로 결제시 오류가 발생합니다. 결제가 안되요. 카드 바꾸면서 해도 다 안될때 많습니다 오리지널 삼성페이 앱으로 하면 바로 됩니다. 포인트 조금더 받으려다가 쪽팔려 죽을거 같아요 빨랑 고쳐줘요. 또하나 등록된 카드중에 삼성카드 하나가 현장결제 제한카도 나오네요 오리지널 삼성페이로는 잘 되는 카드입니다 왜 그런가요? 삼성카드 싫어하나요?,1,2023년,네이버페이 삼성페이로 결제시 오류가 발생합니다 결제가 안되요 카드 바꾸면서 해도 다 안될때 많습니다 오리지널 삼성페이 앱으로 하면 바로 됩니다 포인트 조금더 받으려다가 쪽팔려 죽을거 같아요 빨랑 고쳐줘요 또하나 등록된 카드중에 삼성카드 하나가 현장결제 제한카도 나오네요 오리지널 삼성페이로는 잘 되는 카드입니다 왜 그런가요 삼성카드 싫어하나요,"['결제', '오류', '발생', '결제', '카드', '오리', '바로', '포인트', '조금', '등록', '카드', '삼성', '카드', '현장결제', '제한', '오리', '카드', '런가', '삼성', '카드']"
2023년 10월 8일,<1> 카드 순서변경 안되는 App은 네이버pay뿐~ 심각합니다 대한민국은 삼성pay와 네이버pay가 선두에 서야하는데. 이런 기본적인것더 몇십년 지나도 해결을 안해줌?? <2> 위젯도 다른App은 다 동그란데.. 네모 길쭉~ <3> 색깔도 선택은 없고.. 일방적,5,2023년,카드 순서변경 안되는 APP은 네이버PAY뿐 심각합니다 대한민국은 삼성PAY와 네이버PAY가 선두에 서야하는데 이런 기본적인것더 몇십년 지나도 해결을 안해줌 위젯도 다른APP은 다 동그란데 네모 길쭉 색깔도 선택은 없고 일방적,"['카드', '순서', '변경', '심각', '대한민국', '삼성', '선두', '본적', '것더', '십년', '지나', '해결', '안해', '위젯', '네모', '길쭉', '색깔', '선택', '일방']"
