날짜,리뷰,별점,month,리뷰1,리뷰2
2023년 10월 1일,업데이트 이후로 크기가 큰 4x1 위젯에서 페이 포인트/페이 머니의 금액이 표시가 안되네요. 타사 금융앱들과 비교해서 편이성 측면에서 참 좋은 점이라 생각했는데 업데이트 이후로 사라져서 매우 아쉽습니다. 금액 표시가 부활했으면 좋겠습니다. 금액 표시가 없으면 불편하기도 하고 금액 표시도 안되는데 굳이 4x1의 큰 위젯을 써야할 필요성을 느끼지 못하는것 같습니다.,1,2023년,업데이트 이후로 크기가 큰 X 위젯에서 페이 포인트 페이 머니의 금액이 표시가 안되네요 타사 금융앱들과 비교해서 편이성 측면에서 참 좋은 점이라 생각했는데 업데이트 이후로 사라져서 매우 아쉽습니다 금액 표시가 부활했으면 좋겠습니다 금액 표시가 없으면 불편하기도 하고 금액 표시도 안되는데 굳이 X 의 큰 위젯을 써야할 필요성을 느끼지 못하는것 같습니다,"['업데이트', '이후', '크기', '위젯', '포인트', '금액', '표시', '금융', '비교', '편이', '측면', '생각', '업데이트', '이후', '사라', '매우', '금액', '표시', '부활', '금액', '표시', '불편', '기도', '금액', '표시', '굳이', '위젯', '필요성']"
2023년 8월 13일,"삼성페이 현장결제 이용 시 데이터, 와이파이 문제 없는데 자꾸 재등록버튼만 나옵니다. 한 번에 뜨는 경우가 별로 없습니다. 몇 번 새로고침(재등록버튼) 해줘도 결국에 안 돼서 기본 삼성페이로만 결제하게 됩니다. 위젯으로 들어가서 그런건지..",2,2023년,삼성페이 현장결제 이용 시 데이터 와이파이 문제 없는데 자꾸 재등록버튼만 나옵니다 한 번에 뜨는 경우가 별로 없습니다 몇 번 새로고침 재등록버튼 해줘도 결국에 안 돼서 기본 삼성페이로만 결제하게 됩니다 위젯으로 들어가서 그런건지,"['현장결제', '데이터', '와이파이', '문제', '등록', '버튼', '별로', '새로고침', '등록', '버튼', '기본', '로만', '제하', '위젯']"
2023년 8월 13일,이 앱 편의점이나 커피체인점에서 쓸때마다 화나는게 현장결제 때문에 클릭하면 맨날 본인인증 다시하라고 초기화면 떠있음. 몇원 더받으려고 쓰는건데 인증도 한두번이지 뒤에 다른손님 서있는데 몇분 본인인증하다 허비하고 쪽팔리는게 한두번이 아님. 장난치는것도 아니고 매번 본인인증하라고 인증 풀려져 있어서 성질나서 네이버페이앱 절대 안쓰고 네이버 앱만 쓰게됨.,1,2023년,이 앱 편의점이나 커피체인점에서 쓸때마다 화나는게 현장결제 때문에 클릭하면 맨날 본인인증 다시하라고 초기화면 떠있음 몇원 더받으려고 쓰는건데 인증도 한두번이지 뒤에 다른손님 서있는데 몇분 본인인증하다 허비하고 쪽팔리는게 한두번이 아님 장난치는것도 아니고 매번 본인인증하라고 인증 풀려져 있어서 성질나서 네이버페이앱 절대 안쓰고 네이버 앱만 쓰게됨,"['편의점', '이나', '커피', '체인점', '마다', '현장결제', '클릭', '본인인증', '초기', '화면', '인증', '이지', '손님', '본인인증', '허비', '난치', '매번', '본인인증', '인증', '성질', '절대']"
2023년 10월 2일,잘 사용하고 있었는데 삼성페이 화면에서 카드 선택이 안 떠요 원래 카드 목록이 보이고 눌러서 카드 선택 후 결제해서 그때그때 골라 결제했는데.. 위젯아이콘 누르면 자꾸 연결되지 않았다고 뜨고 접속돼도 카드가 안 뜨니 무슨 카드 인지도 모르고 결제가 잘못될까 봐 결제하기가 좀 그래요..,3,2023년,잘 사용하고 있었는데 삼성페이 화면에서 카드 선택이 안 떠요 원래 카드 목록이 보이고 눌러서 카드 선택 후 결제해서 그때그때 골라 결제했는데 위젯아이콘 누르면 자꾸 연결되지 않았다고 뜨고 접속돼도 카드가 안 뜨니 무슨 카드 인지도 모르고 결제가 잘못될까 봐 결제하기가 좀 그래요,"['화면', '카드', '선택', '원래', '카드', '목록', '보이', '카드', '선택', '결제', '그때', '그때', '결제', '위젯', '아이콘', '연결', '접속', '카드', '카드', '인지도', '결제', '잘못', '결제']"
2023년 9월 18일,이번 패치 이후에 플립5 플렉스윈도우 (커버화면) 호환이 안돼요 ㅠ Good luck 앱으로 네이버페에 QR코드 잘 사용해서 결제했는데. 이번 업데이트 이후로는 QR코드만 가려져서 삼성페이도 안돼고 ㅠ 폰를 열어야지 가능해졌습니다.. 원래 잘 사용되었다가 업데이트 이후로 안돼서 답답하네요 ㅠ,3,2023년,이번 패치 이후에 플립 플렉스윈도우 커버화면 호환이 안돼요 GOOD LUCK 앱으로 네이버페에 QR코드 잘 사용해서 결제했는데 이번 업데이트 이후로는 QR코드만 가려져서 삼성페이도 안돼고 폰를 열어야지 가능해졌습니다 원래 잘 사용되었다가 업데이트 이후로 안돼서 답답하네요,"['이번', '패치', '이후', '플립', '플렉스', '윈도우', '커버', '화면', '호환', '코드', '결제', '이번', '업데이트', '이후', '코드', '폰를', '원래', '업데이트', '이후']"
2023년 8월 23일,네이버페이 삼성페이로 결제시 오류가 발생합니다. 결제가 안되요. 카드 바꾸면서 해도 다 안될때 많습니다 오리지널 삼성페이 앱으로 하면 바로 됩니다. 포인트 조금더 받으려다가 쪽팔려 죽을거 같아요 빨랑 고쳐줘요. 또하나 등록된 카드중에 삼성카드 하나가 현장결제 제한카도 나오네요 오리지널 삼성페이로는 잘 되는 카드입니다 왜 그런가요? 삼성카드 싫어하나요?,1,2023년,네이버페이 삼성페이로 결제시 오류가 발생합니다 결제가 안되요 카드 바꾸면서 해도 다 안될때 많습니다 오리지널 삼성페이 앱으로 하면 바로 됩니다 포인트 조금더 받으려다가 쪽팔려 죽을거 같아요 빨랑 고쳐줘요 또하나 등록된 카드중에 삼성카드 하나가 현장결제 제한카도 나오네요 오리지널 삼성페이로는 잘 되는 카드입니다 왜 그런가요 삼성카드 싫어하나요,"['결제', '오류', '발생', '결제', '카드', '오리', '바로', '포인트', '조금', '등록', '카드', '삼성', '카드', '현장결제', '제한', '오리', '카드', '런가', '삼성', '카드']"
2023년 7월 10일,인식이 잘 안되는거 같아요. 결제시 잠금해제 뜨기까지도 시간이 좀걸리고 해제하고나서 결제가능상태로 넘어가는데도 시간이 좀걸리는 경우가 종종있어요. 어쩔땐 결제가능상태로 빨리 바뀐다해도 결제단말기에 잘인식이 안되서 몇번씩 다시하는 경우가 생기네요. 재시도도해보고 핸드폰을 결제단말기에 접촉시키는 위치도 바꿔보고 그러다 결국 그냥 실물카드 이용하거나 삼성페이사용하게 됩니다,3,2023년,인식이 잘 안되는거 같아요 결제시 잠금해제 뜨기까지도 시간이 좀걸리고 해제하고나서 결제가능상태로 넘어가는데도 시간이 좀걸리는 경우가 종종있어요 어쩔땐 결제가능상태로 빨리 바뀐다해도 결제단말기에 잘인식이 안되서 몇번씩 다시하는 경우가 생기네요 재시도도해보고 핸드폰을 결제단말기에 접촉시키는 위치도 바꿔보고 그러다 결국 그냥 실물카드 이용하거나 삼성페이사용하게 됩니다,"['인식', '결제', '해제', '시간', '해제', '결제', '상태', '시간', '종종', '결제', '상태', '결제', '단말기', '인식', '생기', '재시', '도도', '보고', '핸드폰', '결제', '단말기', '접촉', '위치', '보고', '실물', '카드', '거나']"
2023년 9월 17일,플립5 사용자인데 플렉스윈도우로 결제가 잘사용되었는데 최근 업데이트 이 후 플렉스윈도우로 결제가 안됩니다. 폴더를 열어야 가능해졌습니다. ㅡㅡ,1,2023년,플립 사용자인데 플렉스윈도우로 결제가 잘사용되었는데 최근 업데이트 이 후 플렉스윈도우로 결제가 안됩니다 폴더를 열어야 가능해졌습니다,"['플립', '사용자', '플렉스', '윈도우', '결제', '최근', '업데이트', '플렉스', '윈도우', '결제', '폴더']"
2023년 9월 21일,얼마전부터 앱을 켜면 5초 후 앱이 저절로 꺼집니다. 안내창이 뜨는데 '네이버페이 앱에 오류 발생 네이버페이 앱에 버그가 있어 앱을 종료했습니다' 라는 문구입니다. 갤럭시 s22 기본모델 사용중입니다. 해결책을 알려주세요.,2,2023년,얼마전부터 앱을 켜면 초 후 앱이 저절로 꺼집니다 안내창이 뜨는데 네이버페이 앱에 오류 발생 네이버페이 앱에 버그가 있어 앱을 종료했습니다 라는 문구입니다 갤럭시 S 기본모델 사용중입니다 해결책을 알려주세요,"['얼마', '전부', '저절로', '안내', '오류', '발생', '버그', '종료', '구입', '갤럭시', '기본', '모델', '해결']"
2023년 9월 23일,업데이트 문제인지 결제하려고 앱을 켰을 때 삼페든 qr이든 계속 로딩중이라 떠서 결제를 못해요... 이러면 오프라인에서 사용할 수 없어서 엄청 불편해요 이게 또 어떨 때는 되고 안되고 랜덤입니다,1,2023년,업데이트 문제인지 결제하려고 앱을 켰을 때 삼페든 QR이든 계속 로딩중이라 떠서 결제를 못해요 이러면 오프라인에서 사용할 수 없어서 엄청 불편해요 이게 또 어떨 때는 되고 안되고 랜덤입니다,"['업데이트', '문제', '인지', '제하', '삼페', '로딩', '중이', '결제', '오프라인', '불편', '랜덤']"
2023년 9월 16일,z플립 커버화면에서는 바로결제 기능을 사용하지 않으면 결제 할 수가 없어 불편합니다.. 바로결제 기능 안쓰는 사용자도 커버화면에서 결제 가능했음 좋겠어요,3,2023년,Z플립 커버화면에서는 바로결제 기능을 사용하지 않으면 결제 할 수가 없어 불편합니다 바로결제 기능 안쓰는 사용자도 커버화면에서 결제 가능했음 좋겠어요,"['플립', '커버', '화면', '바로', '결제', '결제', '수가', '불편', '바로', '결제', '사용자', '커버', '화면', '결제']"
2023년 9월 13일,필요충족 요건 이상 기기인데 갤럭시 a8 2018(안드로이드8)에서 삼페 동작 안됨. 센터에 메일 문의시 지원기기가 아니라고 답변 받음. 왜? 앱조건에선 그 이상인걸 지원 안되는 기기라하는지 모르겠음. 전문성 있는 cs직원은 아닌듯하여 포기.,1,2023년,필요충족 요건 이상 기기인데 갤럭시 A 안드로이드 에서 삼페 동작 안됨 센터에 메일 문의시 지원기기가 아니라고 답변 받음 왜 앱조건에선 그 이상인걸 지원 안되는 기기라하는지 모르겠음 전문성 있는 CS직원은 아닌듯하여 포기,"['필요', '충족', '요건', '이상', '기기', '갤럭시', '안드로이드', '삼페', '동작', '센터', '메일', '문의', '지원기', '답변', '조건', '이상인', '지원', '기기', '전문성', '직원', '포기']"
2023년 6월 8일,네이버페이 삼성페이 연동 기능 때문에 쓰는건데 왜이리 인식이 안됩니까? 또 뭔 최신업데이트 소리 나올까봐 미리 최신업데이트 상태인걸 말씀드릴게요. 택시타서 한번에 되는 꼴을 못보질 않나. 삼성페이앱으로는 잘만 되는데 연동이 대체 어떻게 되어 있는거죠? 제대로 조치하지 않으면 저같은 사람들 다 떨어져 나갈겁니다. 당장 저부터 지울 예정이거든요.,1,2023년,네이버페이 삼성페이 연동 기능 때문에 쓰는건데 왜이리 인식이 안됩니까 또 뭔 최신업데이트 소리 나올까봐 미리 최신업데이트 상태인걸 말씀드릴게요 택시타서 한번에 되는 꼴을 못보질 않나 삼성페이앱으로는 잘만 되는데 연동이 대체 어떻게 되어 있는거죠 제대로 조치하지 않으면 저같은 사람들 다 떨어져 나갈겁니다 당장 저부터 지울 예정이거든요,"['연동', '인식', '최신', '업데이트', '소리', '미리', '최신', '업데이트', '상태', '인걸', '말씀', '드릴', '시타', '잘만', '연동', '대체', '제대로', '치하', '사람', '당장', '부터', '예정']"
2023년 10월 19일,삼성페이 mst방식만 지원해서 그런지 모르겠지만 간혹 인식이 안되는 경우가 있습니다 보안에도 nfc방식이 더 좋다고 하는데 다른 앱처럼 nfc방식도 추가했음 좋겠습니다,3,2023년,삼성페이 MST방식만 지원해서 그런지 모르겠지만 간혹 인식이 안되는 경우가 있습니다 보안에도 NFC방식이 더 좋다고 하는데 다른 앱처럼 NFC방식도 추가했음 좋겠습니다,"['방식', '지원', '간혹', '인식', '보안', '방식', '처럼', '방식']"
2023년 9월 18일,갤럭시 플립5 입니다 외부 화면에 QR코드가 안나와요 결제 할때마다 항상 열어서 결제 해야 하는데... 불편함이 있습니다 업그레이드 전에는 사용가능 했는대 왜 업그레이드 되면서 안되나요 답변부탁드립니다,3,2023년,갤럭시 플립 입니다 외부 화면에 QR코드가 안나와요 결제 할때마다 항상 열어서 결제 해야 하는데 불편함이 있습니다 업그레이드 전에는 사용가능 했는대 왜 업그레이드 되면서 안되나요 답변부탁드립니다,"['갤럭시', '플립', '외부', '화면', '코드', '결제', '마다', '항상', '결제', '불편', '업그레이드', '업그레이드', '답변', '부탁', '드립']"
2023년 10월 17일,"최악의 서비스입니다. 고객센터 기능이 거의 없다고 보시면 되고, 돈 환불받는게 넘 어렵습니다. 다시는 사용안해야하는 서비스인듯 합니다.",1,2023년,최악의 서비스입니다 고객센터 기능이 거의 없다고 보시면 되고 돈 환불받는게 넘 어렵습니다 다시는 사용안해야하는 서비스인듯 합니다,"['최악', '서비스', '고객', '센터', '거의', '보시', '환불', '안해', '서비스']"
2023년 8월 19일,네이버 삼성페이 인식률 개선좀 되게 해주세요. 삼성페이처럼 빠르게 한방에 착.되질 않고 이리저리 갖다대고 삐질삐질..결제할때 땀나요.. 포인트 몇원에 자존심 상해요 ㅜㅜ,2,2023년,네이버 삼성페이 인식률 개선좀 되게 해주세요 삼성페이처럼 빠르게 한방에 착 되질 않고 이리저리 갖다대고 삐질삐질 결제할때 땀나요 포인트 몇원에 자존심 상해요,"['인식', '개선', '처럼', '리저', '다대고', '결제', '포인트', '자존심', '상해']"
2023년 9월 10일,플립5 커버화면에서 측면버튼 두번 눌러서 바로 실행하면 화면을 열라고 뜨네요. 이전에 열지않고 바로 사용 가능했는데...,3,2023년,플립 커버화면에서 측면버튼 두번 눌러서 바로 실행하면 화면을 열라고 뜨네요 이전에 열지않고 바로 사용 가능했는데,"['플립', '커버', '화면', '측면', '버튼', '바로', '실행', '화면', '이전', '바로']"
2023년 9월 14일,업뎃 이후로 플립5 외부액정에서 실행이 안되고있어요..그전엔 외부에서 qr이 나왔는데 ..이젠 카드만 뜨고 ..바로 qr을 할수가없어서 폰을 열어야해요 너무 불편합니다.,1,2023년,업뎃 이후로 플립 외부액정에서 실행이 안되고있어요 그전엔 외부에서 QR이 나왔는데 이젠 카드만 뜨고 바로 QR을 할수가없어서 폰을 열어야해요 너무 불편합니다,"['업뎃', '이후', '플립', '외부', '액정', '실행', '외부', '카드', '바로', '수가', '불편']"
2023년 9월 27일,삼성페이교통카드랑 충돌하는 현상 좀 고쳐주시죠 그리고 네이버삼성페이결제NFC는 왜 지원 안하나요? 요즘엔 NFC 전용 단말기도 많은데 그때마다 삼성페이앱 다시켜서 결제하고 하.. 뭐 이것도 교통카드 충돌나는거랑 상관이 있겠죠? 기술력이 딸리는건지 참,1,2023년,삼성페이교통카드랑 충돌하는 현상 좀 고쳐주시죠 그리고 네이버삼성페이결제NFC는 왜 지원 안하나요 요즘엔 NFC 전용 단말기도 많은데 그때마다 삼성페이앱 다시켜서 결제하고 하 뭐 이것도 교통카드 충돌나는거랑 상관이 있겠죠 기술력이 딸리는건지 참,"['교통카드', '충돌', '현상', '결제', '지원', '요즘', '전용', '단말기', '그때', '마다', '결제', '교통카드', '충돌', '상관', '기술']"
2023년 9월 7일,앱 아이콘이 바뀌는 최신 업데이트 이후 네이버 페이 결제가 안됩니다. 카드결제는 qr이랑 터치 둘다 잘되는데 페이qr만 작동을 안합니다 기종은 a24고 삭제 재설치 같은 당연한 조치는 다 해봤습니다,1,2023년,앱 아이콘이 바뀌는 최신 업데이트 이후 네이버 페이 결제가 안됩니다 카드결제는 QR이랑 터치 둘다 잘되는데 페이QR만 작동을 안합니다 기종은 A 고 삭제 재설치 같은 당연한 조치는 다 해봤습니다,"['아이콘', '최신', '업데이트', '이후', '결제', '카드결제', '터치', '작동', '기종은', '재설치', '연한', '조치']"
2023년 9월 3일,사용자 리뷰 사진올리기에서 동일사진 등록안됨. 무한로딩임. 요즘 네이버 개발자들 왜이러냐? 일류기업 이미지 다 없애기로 단합이라도한건가 동일제품 리뷰를 하나로 통합시키던가 아니면 이것도 신인류MZ 특성인가? 오류 못잡고 고객에게 개선점 찾으라는건가?,2,2023년,사용자 리뷰 사진올리기에서 동일사진 등록안됨 무한로딩임 요즘 네이버 개발자들 왜이러냐 일류기업 이미지 다 없애기로 단합이라도한건가 동일제품 리뷰를 하나로 통합시키던가 아니면 이것도 신인류MZ 특성인가 오류 못잡고 고객에게 개선점 찾으라는건가,"['사용자', '리뷰', '사진올리기', '동일', '사진', '등록', '무한', '로딩', '요즘', '개발자', '일류', '기업', '이미지', '애기', '단합', '동일', '제품', '리뷰', '하나로', '통합', '신인', '특성', '오류', '잡고', '고객', '개선']"
2023년 10월 11일,0.5점없나요? 앱의 효율성이 떨어지는데요? 사용하려고 키면 버퍼링이 무제한 재생인데 어캐쓰라는 건가요... 삼성페이 키니까 빠른데 네이버페이 언데 기다리고있나요....,1,2023년,점없나요 앱의 효율성이 떨어지는데요 사용하려고 키면 버퍼링이 무제한 재생인데 어캐쓰라는 건가요 삼성페이 키니까 빠른데 네이버페이 언데 기다리고있나요,"['율성', '버퍼링', '무제한', '재생', '어캐쓰', '다리']"
