날짜,리뷰,별점,month
2023년 10월 1일,업데이트 이후로 크기가 큰 4x1 위젯에서 페이 포인트/페이 머니의 금액이 표시가 안되네요. 타사 금융앱들과 비교해서 편이성 측면에서 참 좋은 점이라 생각했는데 업데이트 이후로 사라져서 매우 아쉽습니다. 금액 표시가 부활했으면 좋겠습니다. 금액 표시가 없으면 불편하기도 하고 금액 표시도 안되는데 굳이 4x1의 큰 위젯을 써야할 필요성을 느끼지 못하는것 같습니다.,1,2023년
2023년 9월 26일,"특히 삼성페이 연결된 이후 편하게 잘쓰고 있습니다만, 네이버 하나통장 개설 후 주계좌로 쓰고싶은데 입금이나 출금 푸쉬알림같은게 안와서 좀 불편하네요..ㅎㅎ 또 네이버 인증서 열때마다 webex meeting앱을 삭제하라는 알림이 떠서 매우 불편합니다(그냥 원격수업앱임). 마지막으로 계좌 숨김처리할때 완전 사라지지말고 토스처럼 회색처린된다음에 자산 집계에서 제외되는 방식이면 좋을 것 같아요",5,2023년
2023년 8월 13일,"삼성페이 현장결제 이용 시 데이터, 와이파이 문제 없는데 자꾸 재등록버튼만 나옵니다. 한 번에 뜨는 경우가 별로 없습니다. 몇 번 새로고침(재등록버튼) 해줘도 결국에 안 돼서 기본 삼성페이로만 결제하게 됩니다. 위젯으로 들어가서 그런건지..",2,2023년
2023년 9월 7일,언제나 편하게 잘 쓰고 있습니다. 다만 이번 업데이트 되면서 플립5 커버 화면 사용이 불편해 졌어요. 업데이트 전에는 커버화면에 QR코드가 보였는데 업데이트 후로는 핸드폰을 열어야지만 QR코드가 보입니다.,5,2023년
2023년 10월 10일,"이번 업뎃 후에 문제 발생. 카드가 4개 등록돼 있어서 결제때마다 필요한 다른 카드로 선택해서 결제했는데, 업뎃 후에는 카드 선택이 불가. 결제화면에서 카드 터치하면 등록된 카드들이 펼쳐져서 보이고, 그 상태에서 결제할 카드를 선택하는데 그게 안됨. 다른 터치는 다 되는데 카드터치만 안됨. 무슨카드로 결제되는지 알 수가 없음-- 앞 내용은 어제 적은 후기인데 오늘 수정합니다!! 지금 다 잘 작동됩니다. 어플을 삭제하고 다시 설치한 것도 아니고, 어제 어플 그대로인데 지금은 카드 선택도 다 잘 됩니다~",5,2023년
2023년 8월 13일,이 앱 편의점이나 커피체인점에서 쓸때마다 화나는게 현장결제 때문에 클릭하면 맨날 본인인증 다시하라고 초기화면 떠있음. 몇원 더받으려고 쓰는건데 인증도 한두번이지 뒤에 다른손님 서있는데 몇분 본인인증하다 허비하고 쪽팔리는게 한두번이 아님. 장난치는것도 아니고 매번 본인인증하라고 인증 풀려져 있어서 성질나서 네이버페이앱 절대 안쓰고 네이버 앱만 쓰게됨.,1,2023년
2023년 10월 2일,잘 사용하고 있었는데 삼성페이 화면에서 카드 선택이 안 떠요 원래 카드 목록이 보이고 눌러서 카드 선택 후 결제해서 그때그때 골라 결제했는데.. 위젯아이콘 누르면 자꾸 연결되지 않았다고 뜨고 접속돼도 카드가 안 뜨니 무슨 카드 인지도 모르고 결제가 잘못될까 봐 결제하기가 좀 그래요..,3,2023년
2023년 9월 18일,이번 패치 이후에 플립5 플렉스윈도우 (커버화면) 호환이 안돼요 ㅠ Good luck 앱으로 네이버페에 QR코드 잘 사용해서 결제했는데. 이번 업데이트 이후로는 QR코드만 가려져서 삼성페이도 안돼고 ㅠ 폰를 열어야지 가능해졌습니다.. 원래 잘 사용되었다가 업데이트 이후로 안돼서 답답하네요 ㅠ,3,2023년
2023년 8월 23일,네이버페이 삼성페이로 결제시 오류가 발생합니다. 결제가 안되요. 카드 바꾸면서 해도 다 안될때 많습니다 오리지널 삼성페이 앱으로 하면 바로 됩니다. 포인트 조금더 받으려다가 쪽팔려 죽을거 같아요 빨랑 고쳐줘요. 또하나 등록된 카드중에 삼성카드 하나가 현장결제 제한카도 나오네요 오리지널 삼성페이로는 잘 되는 카드입니다 왜 그런가요? 삼성카드 싫어하나요?,1,2023년
2023년 10월 8일,<1> 카드 순서변경 안되는 App은 네이버pay뿐~ 심각합니다 대한민국은 삼성pay와 네이버pay가 선두에 서야하는데. 이런 기본적인것더 몇십년 지나도 해결을 안해줌?? <2> 위젯도 다른App은 다 동그란데.. 네모 길쭉~ <3> 색깔도 선택은 없고.. 일방적,5,2023년
2023년 10월 21일,네이버페이에서 네이버스토어 온라인 쇼핑도 간편하게 할 수 있도록 네이버쇼핑도 퀵메뉴로 추가됐으면 좋겠어요. 결제내역 통해서 건너건너 들어가는게 불편하네요.ㅠㅠ,4,2023년
2023년 7월 10일,인식이 잘 안되는거 같아요. 결제시 잠금해제 뜨기까지도 시간이 좀걸리고 해제하고나서 결제가능상태로 넘어가는데도 시간이 좀걸리는 경우가 종종있어요. 어쩔땐 결제가능상태로 빨리 바뀐다해도 결제단말기에 잘인식이 안되서 몇번씩 다시하는 경우가 생기네요. 재시도도해보고 핸드폰을 결제단말기에 접촉시키는 위치도 바꿔보고 그러다 결국 그냥 실물카드 이용하거나 삼성페이사용하게 됩니다,3,2023년
2023년 9월 25일,사용시의 편의성 측면에서는 매우좋다. 하지만 관리측면에서는 매우 불편한부분이 있다. 특히 송금시 사용처와 메모가 내역에 안보이는점과 네이버페이 에서 삼성페이에 등록된 체크카드로 결제하면 두번결제된것처럼보여서 매우찝찝하다.,4,2023년
2023년 9월 17일,플립5 사용자인데 플렉스윈도우로 결제가 잘사용되었는데 최근 업데이트 이 후 플렉스윈도우로 결제가 안됩니다. 폴더를 열어야 가능해졌습니다. ㅡㅡ,1,2023년
2023년 9월 21일,얼마전부터 앱을 켜면 5초 후 앱이 저절로 꺼집니다. 안내창이 뜨는데 '네이버페이 앱에 오류 발생 네이버페이 앱에 버그가 있어 앱을 종료했습니다' 라는 문구입니다. 갤럭시 s22 기본모델 사용중입니다. 해결책을 알려주세요.,2,2023년
2023년 9월 23일,업데이트 문제인지 결제하려고 앱을 켰을 때 삼페든 qr이든 계속 로딩중이라 떠서 결제를 못해요... 이러면 오프라인에서 사용할 수 없어서 엄청 불편해요 이게 또 어떨 때는 되고 안되고 랜덤입니다,1,2023년
2023년 9월 16일,z플립 커버화면에서는 바로결제 기능을 사용하지 않으면 결제 할 수가 없어 불편합니다.. 바로결제 기능 안쓰는 사용자도 커버화면에서 결제 가능했음 좋겠어요,3,2023년
2023년 9월 13일,필요충족 요건 이상 기기인데 갤럭시 a8 2018(안드로이드8)에서 삼페 동작 안됨. 센터에 메일 문의시 지원기기가 아니라고 답변 받음. 왜? 앱조건에선 그 이상인걸 지원 안되는 기기라하는지 모르겠음. 전문성 있는 cs직원은 아닌듯하여 포기.,1,2023년
2023년 6월 8일,네이버페이 삼성페이 연동 기능 때문에 쓰는건데 왜이리 인식이 안됩니까? 또 뭔 최신업데이트 소리 나올까봐 미리 최신업데이트 상태인걸 말씀드릴게요. 택시타서 한번에 되는 꼴을 못보질 않나. 삼성페이앱으로는 잘만 되는데 연동이 대체 어떻게 되어 있는거죠? 제대로 조치하지 않으면 저같은 사람들 다 떨어져 나갈겁니다. 당장 저부터 지울 예정이거든요.,1,2023년
2023년 6월 14일,"워치로 결제 시 단계가 좀 이상하네요. ""최근에 결제한 카드 > 등록한 6자리 입력 > QR 코드가 보여짐 > 결제 완료"" 이 순서로 진행되는 게 정상인데 가끔씩 ""등록한 6자리 비밀번호""이 안 뜨고 바로 QR코드가 보여집니다. 추후 워치 잃어버렸을 경우에 무분별한 결제 작동될까 걱정되네요ㅠ +오오...제가 걱정했던 점에 대한 명확한 피드백 주셔서 감사해요:) 덕분에 네이버페이에 대한 편리성이 확 올라가네요!!",5,2023년
2023년 5월 31일,보급형 폰인데. 삼성페이 단독실행보다 네이버페이삼성페이 실행이 좀 느려요. 속도가 개선됐음 좋겠습니다. 그리고 이론적으로 결제시 두방식의 인식률 차이가 있나요? 네이버삼성페이는 결제할때 헛방이 많고 폰을 이리저리 갖다대야만 결제될때가 많네요. 인식률이 떨어지는것 같습니다. 인식률차이가 있는지 좀 알려주세요,4,2023년
2023년 10월 19일,삼성페이 mst방식만 지원해서 그런지 모르겠지만 간혹 인식이 안되는 경우가 있습니다 보안에도 nfc방식이 더 좋다고 하는데 다른 앱처럼 nfc방식도 추가했음 좋겠습니다,3,2023년
2023년 9월 18일,갤럭시 플립5 입니다 외부 화면에 QR코드가 안나와요 결제 할때마다 항상 열어서 결제 해야 하는데... 불편함이 있습니다 업그레이드 전에는 사용가능 했는대 왜 업그레이드 되면서 안되나요 답변부탁드립니다,3,2023년
2023년 10월 7일,삼성페이 결재시 잘 사용하고 있는데 아직도 일부 마트 결재기기에서 카드중복 메세지로 인해서 결재가 제대로 안됩니다. 이걸 체인점 마트가 안 바꿔줄테니 좀 더 해결해 주세요.,4,2023년
2023년 10월 5일,"너무 잘 쓰고 있는데, 결제화면에 들어가자마자 포인트•머니가 너무 금액 잘 보이게 바로 떠서 이 금액을 숨기기 하거나 카드랑 순서를 바꿀 수 있으면 좋겠어요.",4,2023년
