날짜,리뷰,별점,month,리뷰1,리뷰2
2021년 9월 10일,"소비내역을 달력으로 한번에 볼 수있는 아이콘이 사라져서 너무너무 불편해요 어플 사용자 입장으로서 슬라이드로 내려서 내역을 눌러 두번에 걸쳐서 들어가는것보다 아이콘 한번 터치를 눌러 들어가는게 더 편리합니다 그리고 수입,지출도 전처럼 한 페이지에 보일 수 있게 다시 개선되었으면 좋겠어요 제발 ..",1,2021년,소비내역을 달력으로 한번에 볼 수있는 아이콘이 사라져서 너무너무 불편해요 어플 사용자 입장으로서 슬라이드로 내려서 내역을 눌러 두번에 걸쳐서 들어가는것보다 아이콘 한번 터치를 눌러 들어가는게 더 편리합니다 그리고 수입 지출도 전처럼 한 페이지에 보일 수 있게 다시 개선되었으면 좋겠어요 제발,"['소비', '달력', '아이콘', '사라', '불편', '어플', '사용자', '입장', '슬라이드', '아이콘', '터치', '편리', '수입', '지출', '처럼', '페이지', '개선', '제발']"
2021년 10월 9일,토스뱅크 출금 이체시 내역을 적을수가 없네요. 받는사람은 내이름대신 내역을 적을수있게 변경가능한데 보내는내역은 변경하고 싶어도 받는사람이름이 고정되어있어 바꿀수 없게 되어있네요. 통장에 많은 기록을 하고 살았던 내게 이것은 굉장한 단점임. 그동안 많은 곳을 이용했지만 변경안되는곳은 토스가 첨임.,1,2021년,토스뱅크 출금 이체시 내역을 적을수가 없네요 받는사람은 내이름대신 내역을 적을수있게 변경가능한데 보내는내역은 변경하고 싶어도 받는사람이름이 고정되어있어 바꿀수 없게 되어있네요 통장에 많은 기록을 하고 살았던 내게 이것은 굉장한 단점임 그동안 많은 곳을 이용했지만 변경안되는곳은 토스가 첨임,"['출금', '이체', '수가', '사람', '이름', '대신', '변경', '변경', '어도', '사람이름', '고정', '통장', '기록', '단점', '그동안', '변경']"
2021년 12월 29일,"업데이트 후 더 불편해졌네요. 1. 토스인증서가 필요하대서 발급했지만 제대로 연동이 안되고 있어요. 삼성증권과도 겨우 연결했고, 기존의 농협 주택청약 통장과는 아직도 연결이 안되고 있습니다. 2. 사용자의 설정을 무시하고 무조건 예금계좌와 투자(증권)계좌로 나뉘어 분류하고있어 불편합니다. 저는 cma계좌를 투자가 아닌 입출금 용도로도 사용하는데 아무리 기존 정렬대로 편집해도 투자로 분류돼서 보기가 굉장히 불편해졌어요. 토스를 잘 사용하고 있었는데 최근 불필요한 서비스를 너무 확대하고 집중해서 가장 기본적인 계좌 연동이나 정렬등의 기능이 많이 부실해진 듯 합니다. 업데이트지만 다운그레이드라고 보이네요. 아쉽습니다. 퇴보했어요",1,2021년,업데이트 후 더 불편해졌네요 토스인증서가 필요하대서 발급했지만 제대로 연동이 안되고 있어요 삼성증권과도 겨우 연결했고 기존의 농협 주택청약 통장과는 아직도 연결이 안되고 있습니다 사용자의 설정을 무시하고 무조건 예금계좌와 투자 증권 계좌로 나뉘어 분류하고있어 불편합니다 저는 CMA계좌를 투자가 아닌 입출금 용도로도 사용하는데 아무리 기존 정렬대로 편집해도 투자로 분류돼서 보기가 굉장히 불편해졌어요 토스를 잘 사용하고 있었는데 최근 불필요한 서비스를 너무 확대하고 집중해서 가장 기본적인 계좌 연동이나 정렬등의 기능이 많이 부실해진 듯 합니다 업데이트지만 다운그레이드라고 보이네요 아쉽습니다 퇴보했어요,"['업데이트', '불편', '인증서', '요하', '대서', '발급', '제대로', '연동', '삼성', '증권', '겨우', '연결', '기존', '농협', '주택', '청약', '통장', '아직', '연결', '사용자', '설정', '무시', '무조건', '예금', '계좌', '투자', '증권', '계좌', '분류', '불편', '계좌', '투자가', '입출금', '용도', '기존', '정렬대로', '편집', '투자', '분류', '불편', '최근', '필요', '서비스', '확대', '집중', '가장', '본적', '계좌', '연동', '이나', '정렬', '부실', '업데이트', '다운', '그레이드', '보이', '퇴보']"
2021년 12월 24일,편리하게 사용중입니다 다만 토스팀에 한가지요청 드립니다 제가 눈이 안좋아서 모바일기기자체 텍스트를 가장크게 사용하고있는데 그 때문인지 해상도 문제로 확인이 안되는 페이지들도 몇 군데 있습니다 예를 들면 스크롤 아래 내용들이 더있는것 같은데 텍스트 크기 때문인지 스크롤이 더 이상 안되는 같은 내용 등... 개선되면 더 좋을것같습니다,3,2021년,편리하게 사용중입니다 다만 토스팀에 한가지요청 드립니다 제가 눈이 안좋아서 모바일기기자체 텍스트를 가장크게 사용하고있는데 그 때문인지 해상도 문제로 확인이 안되는 페이지들도 몇 군데 있습니다 예를 들면 스크롤 아래 내용들이 더있는것 같은데 텍스트 크기 때문인지 스크롤이 더 이상 안되는 같은 내용 등 개선되면 더 좋을것같습니다,"['리하', '다만', '스팀', '한가지', '요청', '드립', '모바일', '기기', '텍스트', '가장', '크게', '인지', '해상도', '문제', '페이지', '군데', '크롤', '아래', '내용', '텍스트', '크기', '인지', '크롤', '이상', '내용', '개선']"
2021년 12월 22일,토스 관계자님 이번 업데이트후 토스나 토스만보기 같은것을 사용하고 토스앱을 종료시켰는데도 불구하고 폰 위치표시가 꺼지질 않습니다~이번 업데이트 전에는 사용할때 자동으로 위치켜지고 종료 할때는 잘꺼졌습니다~이번 업데이트후 전처럼 안되고 계속 위치켜져 있어 폰배터리 엄청 빨리 소모합니다~수정 바로 부탁드립니다~,3,2021년,토스 관계자님 이번 업데이트후 토스나 토스만보기 같은것을 사용하고 토스앱을 종료시켰는데도 불구하고 폰 위치표시가 꺼지질 않습니다 이번 업데이트 전에는 사용할때 자동으로 위치켜지고 종료 할때는 잘꺼졌습니다 이번 업데이트후 전처럼 안되고 계속 위치켜져 있어 폰배터리 엄청 빨리 소모합니다 수정 바로 부탁드립니다,"['관계자', '이번', '업데이트', '종료', '불구', '위치', '표시', '지질', '이번', '업데이트', '자동', '위치', '지고', '종료', '이번', '업데이트', '처럼', '위치', '배터리', '소모', '수정', '바로', '부탁', '드립']"
2021년 9월 24일,토스를 자주애용하고 있습니다 앱은 참좋은거 같은데 업뎃전보다 불편함이 많습니다 적응되면 괜찮겠지 하는데 적응이 되지않는건 왜 일까요? 업뎃전에는 내 전용 항목이 지정되어 볼수있었으나 지금은 되지않고 자주보는 항목을 전체항목에서 찾아서 봐야하는거 같은데 통장잔액도 3일또는 4일치 내역이 중복으로 나옵니다 지금의 심정으로는 업뎃전으로 돌리고 싶네요,3,2021년,토스를 자주애용하고 있습니다 앱은 참좋은거 같은데 업뎃전보다 불편함이 많습니다 적응되면 괜찮겠지 하는데 적응이 되지않는건 왜 일까요 업뎃전에는 내 전용 항목이 지정되어 볼수있었으나 지금은 되지않고 자주보는 항목을 전체항목에서 찾아서 봐야하는거 같은데 통장잔액도 일또는 일치 내역이 중복으로 나옵니다 지금의 심정으로는 업뎃전으로 돌리고 싶네요,"['자주', '애용', '업뎃', '전보', '불편', '적응', '적응', '업뎃전', '전용', '항목', '지정', '주보', '항목', '전체', '항목', '통장', '일치', '중복', '심정', '업뎃전']"
2021년 11월 22일,토스 앱 열리는 데 한참 걸리고 한참 걸려서 메인화면 들어가면 거기서부터 아무것도 안 눌려지고 폰 자체가 먹통이 됩니다. 홈버튼도 안 눌려져서 강제로 토스앱 종료도 못 시키고 폰을 재부팅해야만 폰의 다른 앱이나 기능을 사용할 수 있어요. 며칠 전까지 잘 사용하다가 3일 정도 전부터 계속 이래요. 삭제 후 재설치도 해봤지만 계속 폰만 재부팅하게 만드네요,1,2021년,토스 앱 열리는 데 한참 걸리고 한참 걸려서 메인화면 들어가면 거기서부터 아무것도 안 눌려지고 폰 자체가 먹통이 됩니다 홈버튼도 안 눌려져서 강제로 토스앱 종료도 못 시키고 폰을 재부팅해야만 폰의 다른 앱이나 기능을 사용할 수 있어요 며칠 전까지 잘 사용하다가 일 정도 전부터 계속 이래요 삭제 후 재설치도 해봤지만 계속 폰만 재부팅하게 만드네요,"['한참', '한참', '메인', '화면', '거기', '서부', '눌려', '지고', '먹통', '버튼', '눌려', '강제', '종료', '재부팅', '야만', '이나', '며칠', '정도', '전부', '설치', '재부팅']"
2021년 12월 29일,업데이트 이후 매우 불편하게 바뀌었습니다. 마이데이터 서비스는 무슨 베타 수준의 서비스를 가지고 업데이트를 해서 잘 사용하고 있던 계좌를 다 사라지게 만들어서 왠만하면 탈퇴하라는 계시인가요. 마이데이터 가입 하고 싶지 않아도 강제 가입안하면 사용 못하게 하려는 업데이트 정책 잘 보았습니다. 그리고 마이데이타 사용하게 하려면 좀 테스트는 하고 출시하기 바랍니다. 기관 오류 나서 계좌 조회가 안 되는 곳이 수두룩 합니다. 다시 예전으로 돌리든지 아니면 좀 테스트 완료후 업데이트 부탁합니다.,1,2021년,업데이트 이후 매우 불편하게 바뀌었습니다 마이데이터 서비스는 무슨 베타 수준의 서비스를 가지고 업데이트를 해서 잘 사용하고 있던 계좌를 다 사라지게 만들어서 왠만하면 탈퇴하라는 계시인가요 마이데이터 가입 하고 싶지 않아도 강제 가입안하면 사용 못하게 하려는 업데이트 정책 잘 보았습니다 그리고 마이데이타 사용하게 하려면 좀 테스트는 하고 출시하기 바랍니다 기관 오류 나서 계좌 조회가 안 되는 곳이 수두룩 합니다 다시 예전으로 돌리든지 아니면 좀 테스트 완료후 업데이트 부탁합니다,"['업데이트', '이후', '매우', '불편', '마이', '데이터', '서비스', '베타', '수준', '서비스', '가지', '업데이트', '계좌', '사라', '지게', '만하', '탈퇴', '계시', '마이', '데이터', '가입', '강제', '가입', '업데이트', '정책', '마이', '데이타', '려면', '테스트', '출시', '기관', '오류', '계좌', '조회', '수두', '테스트', '완료', '업데이트', '부탁']"
2021년 11월 29일,토스 초창기에 사용했던 이유는 통장 입출금내역 최근 불러오기와 여기저기 눌렀을때 쉽고 빠르고 간편했던 이유입니다.. 현재 통장 거래내역 하나 불러오는 것 조차 심각하게 오래 걸리고 들어가서 확인하지 않더라도 메인 화면에서 잔액 조회가 간편하게 되었었는데 지금은 로딩이 너무 길고 꼭 눌러줘야 잔액 변화가 생깁니다. 이것저것 많이 추가해주신 사항들 너무 잘 쓰고 있지만 기존에 사용하던 기능들이 많이 느려지고 있으니 그거또한 최적화 시켜주셔서 빠른 움직임이 되도록 만져주세요. 갤럭시s21울트라인데도 토스가 느린건 토스 어플 자체에서의 문제같다고 생각합니다.,3,2021년,토스 초창기에 사용했던 이유는 통장 입출금내역 최근 불러오기와 여기저기 눌렀을때 쉽고 빠르고 간편했던 이유입니다 현재 통장 거래내역 하나 불러오는 것 조차 심각하게 오래 걸리고 들어가서 확인하지 않더라도 메인 화면에서 잔액 조회가 간편하게 되었었는데 지금은 로딩이 너무 길고 꼭 눌러줘야 잔액 변화가 생깁니다 이것저것 많이 추가해주신 사항들 너무 잘 쓰고 있지만 기존에 사용하던 기능들이 많이 느려지고 있으니 그거또한 최적화 시켜주셔서 빠른 움직임이 되도록 만져주세요 갤럭시S 울트라인데도 토스가 느린건 토스 어플 자체에서의 문제같다고 생각합니다,"['창기', '통장', '입출금', '최근', '오기', '여기저기', '간편', '유입', '현재', '통장', '거래', '조차', '각하', '오래', '인하', '더라도', '메인', '화면', '조회', '간편', '로딩', '변화', '사항', '기존', '지고', '그거', '또한', '최적화', '움직임', '도록', '갤럭시', '울트라', '어플', '문제', '생각']"
2021년 11월 12일,만보기 완전 짜증나네요. 포인트장소에 도착해도 제대로 작동 안되고 주변에서 뱅뱅돌아도 포인트적립이 되질 않아요. 근처에서 헛걸음만 벌써 몇번째인지 모르겠어요. 근처는커녕 편의점 안으로 들어가도 안되고... 들어가도 적립안되면 어쩌라는거죠? 만보기 바꿔놓고 사용자 열받게 하는 미션이네요. 친구들은 없어지게 해놓고 미션장소는 엉망이고 장소 버그 빨리 조치해주세요,1,2021년,만보기 완전 짜증나네요 포인트장소에 도착해도 제대로 작동 안되고 주변에서 뱅뱅돌아도 포인트적립이 되질 않아요 근처에서 헛걸음만 벌써 몇번째인지 모르겠어요 근처는커녕 편의점 안으로 들어가도 안되고 들어가도 적립안되면 어쩌라는거죠 만보기 바꿔놓고 사용자 열받게 하는 미션이네요 친구들은 없어지게 해놓고 미션장소는 엉망이고 장소 버그 빨리 조치해주세요,"['완전', '짜증', '포인트', '장소', '도착', '제대로', '작동', '주변', '뱅뱅', '포인트', '적립', '근처', '헛걸음', '벌써', '인지', '근처', '편의점', '적립', '사용자', '미션', '구들', '지게', '미션', '장소', '엉망', '장소', '버그', '조치']"
