날짜,리뷰,별점,month
2023년 10월 14일,대부분 잘 쓰고 있지만 교통카드 시스템 업데이트 이후로 대기가 생기고 시간이 길어져 불만이 많습니다. 처리 가능한 서버가 하나밖에 없는지 20분동안 5000명대에서 줄어들지를 않고 있어요. 버스를 타야하는데 대기때문에 결국 걸어서 왔네요. 이 정도면 교통카드는 차라리 따로 사서 쓰는게 나을 정도라고 생각까지 들고요. 가끔은 하얀 화면에서 다른 UI가 뜨지 않고는 멈춰있는 경우도 있습니다. 이 경우는 나갔다 들어오면 개선되기는 하지만 이럴때마다 나갔다 들어올 수도 없고요. 이런 점 개선 부탁드립니다.,3,2023년
2023년 9월 6일,동영상 광고 들어가고 여러 기능이 이후로 앱이 무거워짐. 버벅거리거나 로딩이 심함. 동영상 광고 들어가는거로 바뀐 이후로 쭉 생각했으나 동영상 광고는 정말 아닌 것 같음. 그리고 원래 토스앱이 깔끔하고 가벼워 사용하였는데 혜택도 줄고 어플에 별로 이용하지도 않는 기능들과 영상광고 같은것만 잔뜩 추가되면서 점점 이용이 불편해집니다... 제안점: 1. 뺄건 빼고 가볍게 갔으면 좋겠습니다. 2. 혜택을 위해 광고 시스템을 도입하는게 필수불가결한 상황인건 인지하고 있습니다. 다만 이미지형태의 광고를 기본으로 게시하고 동영상광고를 보면 추가혜택을 주는 방향으로 진행하는것도 고려해주시면 좋겠습니다. 정 안된다면 동영상 광고가 데이터 환경에서 자동재생만이라도 좀 안되게 해주세요.(3초뒤 멈춤 이런거 말하는거 아닙니다...),1,2023년
2023년 10월 17일,"핸드폰이 느려져 이상했는데, 디바이스케어에서 토스 리소스가 많아 폰이 느려져 토스앱을 삭제하라고 하네요.. 지난번 추석전 업데이트 이후 친구와함께 토스켜기에서 폰을 서로 포개도 블루투스가 잡히질않고 몇번 나갔다 들어와야 친구가 뜹니다. 그리고 음악을 듣다가 토스앱을 켜면, 광고 때문에 음악이 끊겨 짜증납니다. 광고 자동실행 보다는 사용자 의지에 의해 시청할수 있게 변경해 주세요. 만보기도 개선이 아니라 후퇴된 느낌 저만 그럴까요. 모두 그럴꺼예요. 돈이 없으면 아예 항목을 없애던가.. 항목에서 나은 방향으로 업데이트 한답시구.. 실망감만 오지게 주네요. 교통카드 충전 업데이트도 문제 있구. 참나~ 요즘 토스가 너무 무거워요.. 그동안 은행 관련업무를 아주 편리하게 사용하고 있었는데, 토스 리소스 때문에 삭제하는 일이 없도록 개선해 주세요.",4,2023년
2023년 10월 15일,"뒤로가기 ..터치 ..터치 하며 그대로 앱에서 나가는것이 아닌, ""나가시겠습니까? 확인 또는 뒤로가기 하시면 앱에서 나가기가 됩니다."" 란 부분의 시스템이 있으면 유용할 것 같습니다. 사실상 주위에 친한 여럿의 사람들도 이부분이 좀 개선이 있었으면 한다는 의견이 많습니다.(매우 많습니다.) 필요없는 앱에 접속한것이라면 그것을 계속 묻는게 짜증날 수 있겠으나..(생략)..아무튼 저 역시도 몇번이고 나가게 되었다가 다시 로그인하고...(주위사람도 뒤로가기 하다가 그냥 나가기가 되어서....어쿠/에이~/하~/..등등..)개선이 되면 귀사에도, 또는 불편해하는 개인들에게도 상당한 도움이 될 것이라 생각됩니다.>지극히 사견!!",5,2023년
2023년 10월 19일,"1시간에 10퍼센트 정도만 소모되던 배터리가, 토스만 사용하면 20~30퍼센트 소모됩니다. 백그라운드를 꺼도 마찬가지입니다. 알림이 많아서 그런건지, 실시간 작업이 많은건지, 심각하네요. 백그라운드 해제하고 재부팅 후 토스를 안열면 배터리가 정상적으로 소모됩니다. 저 뿐 아니고 여러 사람들이 이런 애로사항을 토로하네요. 절약 모드를 만들어 주시던지 대책을 세워주셔야 할거 같습니다.",3,2023년
2023년 10월 27일,토스 장점은 앱 자체의 완성도였는데 이젠 그 장점 마저도 시궁창이 됐네요. 느려지고 렉 걸리고 하루에도 몇번이나 프리징 됐다가 다시 켜지고 터치도 엉뚱한데 찍히질 않나 두번 세번 터치가 되질 않나 동영상 광고 이후로는 아주 난리가 났네요. 타은행앱 완성도나 무거움 중구난방 배치로 토스 앱이 최고라 생각했는데 그걸 스스로 폐기를 하시는게 참,1,2023년
2023년 10월 12일,"다른 리뷰처럼 점점 앱이 무거워짐. 걷기나 동영상 보고 포인트 모으는 재미라도 쏠쏠했는데 동영상은 정시 되자마자 끝났다고 뜨고, 포인트출금 수수료도 10프로 붙고, 파킹 이자도 내려가고요. 뭔가 재미없고 쪼잔한 어플이 되어가고 있음. 포인트 어플도 수없이 많고 이자 높은 인뱅도 많은데 초심 좀 유지하고 잘 운영했으면 하는 바램입니다.",1,2023년
2023년 9월 12일,"토스 잘 쓰고 있는데, 다른 앱에서 토스페이를 쓰려고 하는데, 토스프라임이 계속 같이 뜨더라고요. 결국 잘못 버튼을 눌러서 토스프라임을 결제하게 되고, 바로 해지했습니다. 토스 프라임 결제하기 전에 충분한 설명과 중간 단계를 조금 더 늘려주었으면 합니다. 이 부분이 다음 업데이트에 반영되면 좋을 듯해서 별점은 낮게 주었습니다.",1,2023년
2023년 10월 27일,"아무리 생각해도 업데이트가 포인트 덜 주려는 업데이트로밖엔 안 보입니다. 받는 입장에서 왈가왈부할 자격 없다는 걸 알지만 주려면 처음부터 끝까지 일관되게 주든지.. 사용 기간이 길어질 수록 어떻게든 포인트를 안 주려고 하는 게 영 좋게 보이진 않아서요. 운세에서 항상 무난하다고만 나오는 것도, 만보기 목표 걸음 수는 1400걸음으로 늘었는데 포인트는 10이 아닌 9, 8로 나오는 것도요. 기분 탓일지도 모르겠다만 너무 정도가 심해서 리뷰 남깁니다.",1,2023년
2023년 10월 24일,동영상 광고 땜에 진입 시간이 늘어나서 짜증남. 만보기 기능에 쓸데없이 아이템이 들어가서 귀찮게 터치하는 횟수만 늘어남. 어차피 포인트를 줄일 거면 그냥 줄이지 뭐하는 짓인지 모르겠다. 예전에 100원 주다가 40원으로 줄었을 때도 뭐 그럴때 됐지하는 심정으로 불만을 표하진 않았는데 이번엔 실망임,1,2023년
2023년 8월 19일,어제부터 토스 앱 엄청 느려지고 터치해도 한 참 뒤에 작동하고. 오류나서 꺼지기 반복하네요. 가족이랑 같이 산책 겸 만보기 위치 선정해서 해당위치가서 찍고 확인버튼 까지 눌렀는데 당시에는 찍어서 20포인트 받기 되었는데 집에 와보면 안찍은 걸로 되어있고. 이 오류도 며칠 전부터 계속 그렇고요. 제 폰만 그런게 아니라 가족들 폰에서도 동일 현상. 무엇보다 토스 앱만 터치 잘 안먹히고 엄청 느려졌어요. 빠른 개선 부탁드립니다.,1,2023년
2023년 8월 17일,"사람 많은 곳에서 실행하면 폰이 멈추고 5분 정도 아무것도 터치 안되다가 스스로 재부팅합니다. 오전 출근길 8시20분경 군자역에서 친구와함께토스켜기를 하는데, 지속적으로 반복되는데 개선이 안되네요. 이 증상 발생한 후 액정 나가서 교체받았습니다. 토스 앱 때문인지는 알 수 없으나. 교체 후에도 멈춤 재부팅 현상 반복되고 있습니다. 너무 열받습니다. 갤럭시 노트20 울트라입니다.",1,2023년
